playerID,yearID,teamID,round,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
carutbo01,1887,SL4,WS,10,46,2,11,0,0,0,3,3,,1,1,0,,,,
comisch01,1887,SL4,WS,15,62,8,19,2,0,0,5,4,,1,1,0,,,,
conwape01,1887,DTN,WS,4,12,0,0,0,0,0,0,0,,0,2,0,,,,
dunlafr01,1887,DTN,WS,11,40,5,6,0,1,0,1,4,,0,4,0,,,,
foutzda01,1887,SL4,WS,15,59,4,10,2,1,0,3,0,,2,3,0,,,,
ganzech01,1887,DTN,WS,14,58,5,13,1,0,0,2,3,,1,2,0,,,,
getzich01,1887,DTN,WS,6,20,5,6,2,0,0,2,1,,3,6,0,,,,
gleasbi01,1887,SL4,WS,13,49,3,8,0,0,0,1,1,,3,2,0,,,,
hanlone01,1887,DTN,WS,15,50,5,11,1,1,0,4,7,,5,1,0,,,,
kingsi01,1887,SL4,WS,4,14,0,1,0,0,0,1,0,,0,3,0,,,,
lathaar01,1887,SL4,WS,15,58,12,17,1,0,0,2,15,,9,2,0,,,,
lyonsha01,1887,SL4,WS,2,7,3,2,0,0,0,2,0,,1,0,0,,,,
oneilti01,1887,SL4,WS,15,65,7,13,2,1,1,9,0,,0,2,0,,,,
richaha01,1887,DTN,WS,15,66,12,13,5,2,1,4,7,,1,9,0,,,,
robinya01,1887,SL4,WS,15,46,5,15,5,1,0,4,4,,10,6,0,,,,
roweja01,1887,DTN,WS,15,63,12,21,1,1,0,7,5,,2,1,0,,,,
sutclsy01,1887,DTN,WS,4,11,1,1,0,0,0,0,1,,1,1,0,,,,
thompsa01,1887,DTN,WS,15,58,8,21,2,0,2,7,5,,3,3,0,,,,
twitcla01,1887,DTN,WS,6,20,5,5,1,0,1,3,1,,0,1,0,,,,
welchcu01,1887,SL4,WS,15,58,6,12,3,1,1,8,1,,0,2,0,,,,
whitede01,1887,DTN,WS,15,58,8,12,1,1,0,3,2,,2,0,0,,,,
boyleja01,1888,SL4,WS,4,16,4,7,0,1,0,4,3,,2,2,0,,,,
brownwi01,1888,NY1,WS,2,8,1,3,1,0,0,0,0,,0,0,0,,,,
chambel01,1888,SL4,WS,5,13,3,0,0,0,0,0,1,,4,3,0,,,,
comisch01,1888,SL4,WS,10,41,6,11,1,1,0,3,4,,1,1,0,,,,
connoro01,1888,NY1,WS,7,23,7,7,1,2,0,3,4,,4,0,0,,,,
craneed01,1888,NY1,WS,2,7,1,1,0,0,0,2,0,,0,1,0,,,,
devliji02,1888,SL4,WS,1,3,0,0,0,0,0,0,0,,0,0,0,,,,
ewingbu01,1888,NY1,WS,7,26,5,9,0,2,1,6,5,,1,3,0,,,,
georgbi01,1888,NY1,WS,2,9,2,3,1,0,1,4,0,,0,2,0,,,,
gorege01,1888,NY1,WS,3,11,5,5,1,0,0,0,2,,2,2,0,,,,
hatfigi01,1888,NY1,WS,2,8,2,2,0,0,0,1,1,,1,2,0,,,,
herred01,1888,SL4,WS,3,11,2,1,0,0,0,0,1,,0,5,0,,,,
keefeti01,1888,NY1,WS,4,11,2,1,0,0,0,0,1,,2,2,0,,,,
kingsi01,1888,SL4,WS,5,15,1,1,0,0,0,0,0,,1,6,0,,,,
lathaar01,1888,SL4,WS,10,40,10,10,0,0,0,3,11,,5,6,0,,,,
lyonsha01,1888,SL4,WS,5,17,0,2,0,0,0,1,0,,1,5,0,,,,
mccarto01,1888,SL4,WS,10,41,10,10,1,0,1,9,6,,0,0,0,,,,
millijo01,1888,SL4,WS,8,25,5,10,2,1,0,4,0,,3,3,0,,,,
murphpa01,1888,NY1,WS,3,10,1,1,0,0,0,1,0,,0,0,0,,,,
oneilti01,1888,SL4,WS,10,37,8,9,1,0,2,11,0,,6,3,0,,,,
orourji01,1888,NY1,WS,10,36,4,8,0,0,0,1,3,,4,2,0,,,,
richada01,1888,NY1,WS,9,36,6,6,2,0,0,6,3,,3,5,0,,,,
robinya01,1888,SL4,WS,10,36,7,9,2,1,0,7,2,,6,12,0,,,,
slattmi01,1888,NY1,WS,10,39,6,8,2,0,0,5,6,,0,5,0,,,,
tiernmi01,1888,NY1,WS,10,38,8,13,0,0,1,6,5,,8,2,0,,,,
titcoca01,1888,NY1,WS,1,4,1,2,1,0,0,1,0,,0,0,0,,,,
wardjo01,1888,NY1,WS,8,29,4,11,1,0,0,6,6,,1,0,0,,,,
welchmi01,1888,NY1,WS,2,7,2,2,0,0,0,1,0,,0,0,0,,,,
whitebi02,1888,SL4,WS,10,35,4,5,1,0,0,4,1,,3,6,0,,,,
whitnar01,1888,NY1,WS,10,37,7,12,0,1,0,12,2,,1,4,0,,,,
brownwi01,1889,NY1,WS,1,5,3,3,0,0,1,2,0,,0,0,0,,,,
